temperature,moment,sus
52.2390022277832,1.365671098780261e-23,7.32240728307967e+26
52.2385921478271,1.3665936996379242e-23,7.317463853850252e+26
52.238883972168,1.3669505986908626e-23,7.315553326928614e+26
57.2840118408203,1.2882139634555846e-23,7.762685612547921e+26
57.2833137512207,1.2868281556682682e-23,7.771045384693854e+26
57.2826862335205,1.2869736027512503e-23,7.770167141441227e+26
62.3396072387695,1.2304259535114094e-23,8.127266798511392e+26
62.3388652801514,1.2305125378967349e-23,8.126694927540189e+26
62.3392810821533,1.2305333495612213e-23,8.126557483034296e+26
67.4073600769043,1.1849417449550207e-23,8.439233441285834e+26
67.4041748046875,1.187291024664229e-23,8.422534822772743e+26
67.4030494689941,1.1877952332453298e-23,8.418959531162371e+26
72.477180480957,1.1517332880572775e-23,8.682565749981766e+26
72.4766654968262,1.1513559845945093e-23,8.685411057746709e+26
72.4759063720703,1.1509345967606973e-23,8.688591018242893e+26
77.5425453186035,1.1192416766599323e-23,8.934620831706552e+26
77.5396423339844,1.1200136555721685e-23,8.928462568513429e+26
77.5382537841797,1.1195148476755087e-23,8.932440709262034e+26
82.6583824157715,1.0937531386209351e-23,9.142830906623554e+26
82.6399993896484,1.0945752881385748e-23,9.135963609233234e+26
82.6241188049316,1.0947964528025122e-23,9.13411801289776e+26
87.7194557189941,1.0721612443931612e-23,9.326955299209644e+26
87.7007179260254,1.0707845878233734e-23,9.338946519885386e+26
87.6827201843262,1.0703702289414402e-23,9.342561788073703e+26
92.7882194519043,1.050854533256848e-23,9.5160649581133e+26
92.7758560180664,1.0510853877848657e-23,9.513974902719115e+26
92.7595329284668,1.050656727827305e-23,9.517856532151465e+26
97.8300895690918,1.033549560624822e-23,9.67539475702994e+26
97.8216209411621,1.0327518350022361e-23,9.682868295245729e+26
97.8076972961426,1.0330134844850791e-23,9.68041574499354e+26
102.876693725586,1.0146340850140154e-23,9.855769826480714e+26
102.880126953125,1.0149786221746351e-23,9.852424259512551e+26
102.872913360596,1.0147983550310061e-23,9.854174428272956e+26
107.922657012939,9.995549568162229e-24,1.0004452413353987e+27
107.932125091553,9.997517106474261e-24,1.0002483510154868e+27
107.928600311279,1.000664800685016e-23,9.993356409813148e+26
112.985786437988,9.840757400882926e-24,1.0161819454163952e+27
112.995189666748,9.860860208922656e-24,1.0141103096615692e+27
112.990581512451,9.854919258526274e-24,1.0147216570392705e+27
118.049427032471,9.74409719427951e-24,1.0262623412531973e+27
118.05623626709,9.747206162163448e-24,1.0259350047214394e+27
118.04838180542,9.751685142280538e-24,1.0254637894985801e+27
123.11536026001,9.648321729576185e-24,1.036449683196796e+27
123.122375488281,9.654342102998066e-24,1.0358033611523455e+27
123.114128112793,9.644582539874029e-24,1.0368515131325334e+27
128.17822265625,9.517253470406052e-24,1.0507233027989694e+27
128.185104370117,9.528516441338808e-24,1.0494813186883631e+27
128.17529296875,9.533205266459359e-24,1.0489651403167583e+27
133.220062255859,9.460026198787537e-24,1.0570795249258051e+27
133.195922851562,9.452555233888768e-24,1.0579150031462988e+27
133.172744750977,9.458338535089855e-24,1.0572681410060143e+27
138.242607116699,9.368895451901135e-24,1.0673616811436188e+27
138.22705078125,9.359286254941281e-24,1.0684575434072712e+27
138.20539855957,9.361025803340257e-24,1.0682589932004823e+27
143.37442779541,9.281421150261324e-24,1.0774212093283196e+27
143.344520568848,9.302677842209444e-24,1.07495929340115e+27
143.315063476562,9.289392946362157e-24,1.0764966083080947e+27
148.44953918457,9.25705135035672e-24,1.080257591918257e+27
148.416984558105,9.249932421130265e-24,1.0810889793266277e+27
148.385215759277,9.268866305436918e-24,1.0788805955841885e+27
153.422203063965,9.171568359388917e-24,1.0903260607290812e+27
153.403259277344,9.170158148053808e-24,1.0904937339736404e+27
153.378387451172,9.181581753880118e-24,1.0891369557074432e+27
158.522193908691,9.108686806895934e-24,1.0978530947435011e+27
158.488258361816,9.10806278309324e-24,1.0979283123259109e+27
158.457992553711,9.114925685589906e-24,1.0971016489810047e+27
163.567367553711,9.050929219790025e-24,1.1048589329518581e+27
163.531921386719,9.075200739868863e-24,1.1019040004336588e+27
163.500732421875,9.052451690952699e-24,1.1046731141348492e+27
168.611839294434,8.940190983829617e-24,1.1185443373734733e+27
168.588562011719,8.95202319399269e-24,1.1170659172007688e+27
168.556327819824,9.003009688188937e-24,1.1107396688819537e+27
173.667144775391,8.894201051899932e-24,1.1243280809200792e+27
173.62979888916,8.92617755972483e-24,1.1203003674406263e+27
173.597549438477,8.893376536938924e-24,1.1244323186435073e+27
178.728996276855,8.869334221885622e-24,1.1274803440515739e+27
178.689918518066,8.882002820292543e-24,1.1258721937301338e+27
178.654945373535,8.864807005637268e-24,1.1280561430881513e+27
183.762435913086,8.818291877254923e-24,1.1340064651061351e+27
183.73706817627,8.795900858782131e-24,1.1368932142994374e+27
183.702812194824,8.794534935375392e-24,1.137069790896584e+27
188.818740844727,8.759092453625102e-24,1.1416707898614915e+27
188.780120849609,8.75838150625083e-24,1.1417634631310627e+27
188.747039794922,8.753630127417538e-24,1.1423832003911915e+27
193.83667755127,8.711041655905811e-24,1.1479683366248531e+27
193.803634643555,8.673822297327242e-24,1.1528942670501108e+27
193.77734375,8.732569520222988e-24,1.1451383211827722e+27
198.883819580078,8.660592967035438e-24,1.154655349588961e+27
198.851760864258,8.642258009789905e-24,1.157105005274322e+27
198.826583862305,8.666965331842123e-24,1.1538063921013224e+27
203.929397583008,8.603065803941588e-24,1.1623763234983499e+27
203.897743225098,8.626202294249121e-24,1.1592586933263502e+27
203.873001098633,8.630970615311759e-24,1.1586182418764716e+27
208.972099304199,8.558874708133629e-24,1.1683778932406673e+27
208.942710876465,8.561920273765621e-24,1.1679622888618532e+27
208.919151306152,8.579567271791746e-24,1.1655599499613939e+27
214.015533447266,8.510086935176126e-24,1.1750761274441714e+27
213.988693237305,8.50990218394546e-24,1.1751016385200898e+27
213.968742370605,8.511858644113924e-24,1.1748315401026013e+27
219.050224304199,8.457530147694423e-24,1.1823782860207792e+27
219.02970123291,8.465860854737142e-24,1.1812147838934084e+27
219.015914916992,8.462325313444527e-24,1.1817082928864115e+27
224.097450256348,8.421488169308055e-24,1.1874385855512804e+27
224.077522277832,8.455282241158044e-24,1.1826926310422478e+27
224.065017700195,8.415997780082542e-24,1.1882132411757744e+27
229.09595489502,8.384214998994914e-24,1.1927175055981728e+27
229.09595489502,8.39725515916288e-24,1.1908653256877928e+27
229.098518371582,8.378538941475825e-24,1.1935255143945856e+27
234.050430297852,8.322669415067218e-24,1.2015375718151404e+27
234.056457519531,8.333700839604696e-24,1.1999470814306725e+27
234.062873840332,8.327785691393852e-24,1.2007993926085607e+27
239.059097290039,8.288686688392791e-24,1.2064637470256507e+27
239.071975708008,8.284987654112807e-24,1.2070024021141216e+27
239.078422546387,8.291261866644027e-24,1.2060890321448262e+27
244.092887878418,8.240266959804884e-24,1.2135529162803707e+27
