[Header]
;Copyright 2014, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,4/25/2017 6:52:22 AM
BYAPP, Electrical Transport Option, Release 1.1.1 Build 7
INFO, APPNAME, ETOption, Release 1.1.1 Build 7
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
Ch. 2 Input voltage exceeded compliance limit.,3702261823.05762,51.5085487365723,-0.134321764111519,,,52.69883,9.16154E-05,-0.009514581,,,18.31055,0.98304,10,0,0.5269839,0.5269839,-8.751135E-05,,,,,,3,-97.75124,-71.97781,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261823.72252,51.5090599060059,-0.122110687196255,,,52.69888,8.911321E-05,-0.009506763,,,18.31055,0.98304,10,0,0.5269844,0.5269844,-8.743953E-05,,,,,,3,-97.8053,-72.01617,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261898.45929,52.0075531005859,0.0122110694646835,,,52.73336,0.000206997,-0.008596716,,,18.31055,0.98304,10,0,0.5273291,0.5273291,-7.912099E-05,,,,,,3,-89.13566,-71.69554,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261899.18152,52.0078125,0.0244221389293671,,,52.73355,0.0001254579,-0.009477579,,,18.31055,0.98304,10,0,0.5273311,0.5273311,-8.722844E-05,,,,,,3,-98.14322,-71.9513,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261899.84711,52.007022857666,0,,,52.73355,0.0001234889,-0.009505228,,,18.31055,0.98304,10,0,0.5273311,0.5273311,-8.748293E-05,,,,,,3,-98.39196,-71.93874,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261973.95524,52.5101280212402,-0.109899625182152,,,52.76847,9.133681E-05,-0.009491056,,,18.31055,0.98304,10,0,0.5276803,0.5276803,-8.741034E-05,,,,,,3,-98.41258,-71.87546,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261974.68238,52.5090179443359,-0.0976885557174683,,,52.76847,9.133681E-05,-0.009491056,,,18.31055,0.98304,10,0,0.5276803,0.5276803,-8.741034E-05,,,,,,3,-98.41258,-71.87546,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261990.95319,52.5024948120117,-0.0610553435981274,,,52.76809,9.525988E-05,-0.009619833,,,18.31055,0.98304,10,0,0.5276765,0.5276765,-8.85957E-05,,,,,,3,-98.76434,-71.92204,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262079.12243,53.0067825317383,-0.0488442778587341,,,52.80241,0.0002260808,-0.008667123,,,18.31055,0.98304,10,0,0.5280197,0.5280197,-7.987344E-05,,,,,,3,-89.08372,-71.63667,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262081.15171,53.006275177002,-0.0854774862527847,,,52.80281,8.284917E-05,-0.009560816,,,18.31055,0.98304,10,0,0.5280237,0.5280237,-8.81101E-05,,,,,,3,-98.16422,-71.92843,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262082.9708,53.007625579834,-0.0732664167881012,,,52.80287,0.0001133513,-0.009593885,,,18.31055,0.98304,10,0,0.5280243,0.5280243,-8.841497E-05,,,,,,3,-98.71083,-71.8981,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262156.11521,53.5114784240723,-0.146532833576202,,,52.83819,9.512692E-05,-0.009537915,,,18.31055,0.98304,10,0,0.5283775,0.5283775,-8.795795E-05,,,,,,3,-99.84603,-71.83432,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262156.95941,53.5093002319336,-0.122110687196255,,,52.83819,9.512692E-05,-0.009537915,,,18.31055,0.98304,10,0,0.5283775,0.5283775,-8.795795E-05,,,,,,3,-99.84603,-71.83432,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262157.7011,53.509090423584,-0.158743903040886,,,52.8382,0.0001120476,-0.0095665,,,18.31055,0.98304,10,0,0.5283775,0.5283775,-8.822157E-05,,,,,,3,-97.76877,-71.88905,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262231.92019,54.0113945007324,-0.109899625182152,,,52.87307,0.0001235498,-0.009634725,,,18.31055,0.98304,10,0,0.5287263,0.5287263,-8.890938E-05,,,,,,3,-99.33751,-71.87522,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262232.62868,54.0116996765137,-0.0854774862527847,,,52.87307,0.0001235498,-0.009634725,,,18.31055,0.98304,10,0,0.5287263,0.5287263,-8.890938E-05,,,,,,3,-99.33751,-71.87522,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262233.81652,54.0109672546387,-0.158743903040886,,,52.87313,7.984464E-05,-0.009547794,,,18.31055,0.98304,10,0,0.5287269,0.5287269,-8.810728E-05,,,,,,3,-99.9809,-71.87738,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262307.73097,54.5134353637695,-0.134321764111519,,,52.908,0.0001172977,-0.009556212,,,18.31055,0.98304,10,0,0.5290756,0.5290756,-8.824313E-05,,,,,,3,-99.13959,-71.86616,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262308.4439,54.5124473571777,-0.146532833576202,,,52.908,0.0001172977,-0.009556212,,,18.31055,0.98304,10,0,0.5290756,0.5290756,-8.824313E-05,,,,,,3,-99.13959,-71.86616,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262309.14113,54.5112037658691,-0.134321764111519,,,52.90808,7.620583E-05,-0.009576859,,,18.31055,0.98304,10,0,0.5290763,0.5290763,-8.84339E-05,,,,,,3,-99.4763,-71.91295,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262381.90198,55.0127639770508,-0.158743903040886,,,52.94283,0.0001106344,-0.009567075,,,18.31055,0.98304,10,0,0.5294239,0.5294239,-8.84016E-05,,,,,,3,-98.61587,-71.87825,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262382.63646,55.0119819641113,-0.183166027069092,,,52.94283,0.0001106344,-0.009567075,,,18.31055,0.98304,10,0,0.5294239,0.5294239,-8.84016E-05,,,,,,3,-98.61587,-71.87825,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262383.79799,55.0111465454102,-0.183166027069092,,,52.94286,0.0001169926,-0.009560289,,,18.31055,0.98304,10,0,0.5294241,0.5294241,-8.833892E-05,,,,,,3,-98.98269,-71.8903,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262457.91214,55.5126075744629,-0.232010304927826,,,52.97783,0.0001040407,-0.009634294,,,18.31055,0.98304,10,0,0.5297739,0.5297739,-8.908156E-05,,,,,,3,-99.20707,-71.84988,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262458.62278,55.5139274597168,-0.256432443857193,,,52.97783,0.0001040407,-0.009634294,,,18.31055,0.98304,10,0,0.5297739,0.5297739,-8.908156E-05,,,,,,3,-99.20707,-71.84988,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
